version_id,tag,src_module,dst_module
1,0.115.6,docs_src.body_nested_models.tutorial003,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial003_py310,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial003_py39,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial004,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial004_py310,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial004_py39,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial005,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial005_py310,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial005_py39,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial006,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial006_py310,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial006_py39,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial007,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial007_py310,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial007_py39,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial008,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial008_py39,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial009,fastapi
1,0.115.6,docs_src.body_nested_models.tutorial009_py39,fastapi
1,0.115.6,docs_src.body_updates.tutorial001,fastapi
1,0.115.6,docs_src.body_updates.tutorial001,fastapi.encoders
1,0.115.6,docs_src.body_updates.tutorial001_py310,fastapi
1,0.115.6,docs_src.body_updates.tutorial001_py310,fastapi.encoders
1,0.115.6,docs_src.body_updates.tutorial001_py39,fastapi
1,0.115.6,docs_src.body_updates.tutorial001_py39,fastapi.encoders
1,0.115.6,docs_src.body_updates.tutorial002,fastapi
1,0.115.6,docs_src.body_updates.tutorial002,fastapi.encoders
1,0.115.6,docs_src.body_updates.tutorial002_py310,fastapi
1,0.115.6,docs_src.body_updates.tutorial002_py310,fastapi.encoders
1,0.115.6,docs_src.body_updates.tutorial002_py39,fastapi
1,0.115.6,docs_src.body_updates.tutorial002_py39,fastapi.encoders
1,0.115.6,docs_src.conditional_openapi.tutorial001,fastapi
1,0.115.6,docs_src.configure_swagger_ui.tutorial001,fastapi
1,0.115.6,docs_src.configure_swagger_ui.tutorial002,fastapi
1,0.115.6,docs_src.configure_swagger_ui.tutorial003,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial001,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial001_an,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial001_an_py310,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial001_an_py39,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial001_py310,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial002,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial002_an,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial002_an_py310,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial002_an_py39,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial002_pv1,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial002_pv1_an,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial002_pv1_an_py310,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial002_pv1_an_py39,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial002_pv1_py310,fastapi
1,0.115.6,docs_src.cookie_param_models.tutorial002_py310,fastapi
1,0.115.6,docs_src.cookie_params.tutorial001,fastapi
1,0.115.6,docs_src.cookie_params.tutorial001_an,fastapi
1,0.115.6,docs_src.cookie_params.tutorial001_an_py310,fastapi
1,0.115.6,docs_src.cookie_params.tutorial001_an_py39,fastapi
1,0.115.6,docs_src.cookie_params.tutorial001_py310,fastapi
1,0.115.6,docs_src.cors.tutorial001,fastapi
1,0.115.6,docs_src.cors.tutorial001,fastapi.middleware.cors
1,0.115.6,docs_src.custom_docs_ui.tutorial001,fastapi
1,0.115.6,docs_src.custom_docs_ui.tutorial001,fastapi.openapi.docs
1,0.115.6,docs_src.custom_docs_ui.tutorial002,fastapi
1,0.115.6,docs_src.custom_docs_ui.tutorial002,fastapi.openapi.docs
1,0.115.6,docs_src.custom_docs_ui.tutorial002,fastapi.staticfiles
1,0.115.6,docs_src.custom_request_and_route.tutorial001,fastapi
1,0.115.6,docs_src.custom_request_and_route.tutorial001,fastapi.routing
1,0.115.6,docs_src.custom_request_and_route.tutorial002,fastapi
1,0.115.6,docs_src.custom_request_and_route.tutorial002,fastapi.exceptions
1,0.115.6,docs_src.custom_request_and_route.tutorial002,fastapi.routing
1,0.115.6,docs_src.custom_request_and_route.tutorial003,fastapi
1,0.115.6,docs_src.custom_request_and_route.tutorial003,fastapi.routing
1,0.115.6,docs_src.custom_response.tutorial001,fastapi
1,0.115.6,docs_src.custom_response.tutorial001,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial001b,fastapi
1,0.115.6,docs_src.custom_response.tutorial001b,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial002,fastapi
1,0.115.6,docs_src.custom_response.tutorial002,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial003,fastapi
1,0.115.6,docs_src.custom_response.tutorial003,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial004,fastapi
1,0.115.6,docs_src.custom_response.tutorial004,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial005,fastapi
1,0.115.6,docs_src.custom_response.tutorial005,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial006,fastapi
1,0.115.6,docs_src.custom_response.tutorial006,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial006b,fastapi
1,0.115.6,docs_src.custom_response.tutorial006b,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial006c,fastapi
1,0.115.6,docs_src.custom_response.tutorial006c,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial007,fastapi
1,0.115.6,docs_src.custom_response.tutorial007,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial008,fastapi
1,0.115.6,docs_src.custom_response.tutorial008,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial009,fastapi
1,0.115.6,docs_src.custom_response.tutorial009,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial009b,fastapi
1,0.115.6,docs_src.custom_response.tutorial009b,fastapi.responses
1,0.115.6,docs_src.custom_response.tutorial009c,fastapi
1,0.115.6,docs_src.custom_response.tutorial010,fastapi
1,0.115.6,docs_src.custom_response.tutorial010,fastapi.responses
1,0.115.6,docs_src.dataclasses.tutorial001,fastapi
1,0.115.6,docs_src.dataclasses.tutorial002,fastapi
1,0.115.6,docs_src.dataclasses.tutorial003,fastapi
1,0.115.6,docs_src.debugging.tutorial001,fastapi
1,0.115.6,docs_src.dependencies.tutorial001,fastapi
1,0.115.6,docs_src.dependencies.tutorial001_02_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial001_02_an_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial001_02_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial001_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial001_an_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial001_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial001_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial002,fastapi
1,0.115.6,docs_src.dependencies.tutorial002_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial002_an_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial002_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial002_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial003,fastapi
1,0.115.6,docs_src.dependencies.tutorial003_an,fastapi
1,0.115.6,docs_src.dependencies.tutorial003_an_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial003_an_py39,fastapi
1,0.115.6,docs_src.dependencies.tutorial003_py310,fastapi
1,0.115.6,docs_src.dependencies.tutorial004,fastapi
1,0.115.6,docs_src.dependencies.tutorial004_an,fastapi
